Name,Artist,Album,Genre,Length,Path,UID
05 Southbound Again,Dire Straits,Dire Straits,Unknown,2:59,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\05 Southbound Again.mp3,4
06 Sultans Of Swing,Dire Straits,Dire Straits,Unknown,5:48,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\06 Sultans Of Swing.mp3,5
07 In The Gallery,Dire Straits,Dire Straits,Unknown,6:16,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\07 In The Gallery.mp3,6
08 Wild West End,Dire Straits,Dire Straits,Unknown,4:41,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\08 Wild West End.mp3,7
09 Lions,Dire Straits,Dire Straits,Unknown,5:3,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Dire Straits\09 Lions.mp3,8
02 Private Investigations,Dire Straits,Love Over Gold,Unknown,6:46,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Love Over Gold\02 Private Investigations.mp3,0
03 Industrial Disease,Dire Straits,Love Over Gold,Unknown,5:50,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Love Over Gold\03 Industrial Disease.mp3,1
04 Love Over Gold,Dire Straits,Love Over Gold,Unknown,6:17,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Love Over Gold\04 Love Over Gold.mp3,2
05 It Never Rains,Dire Straits,Love Over Gold,Unknown,7:57,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Love Over Gold\05 It Never Rains.mp3,3
03 Skateaway,Dire Straits,Making Movies,Unknown,6:40,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Making Movies\03 Skateaway.mp3,0
04 Expresso Love,Dire Straits,Making Movies,Unknown,5:12,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Making Movies\04 Expresso Love.mp3,1
05 Hand In Hand,Dire Straits,Making Movies,Unknown,4:48,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Making Movies\05 Hand In Hand.mp3,2
06 Solid Rock,Dire Straits,Making Movies,Unknown,3:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Making Movies\06 Solid Rock.mp3,3
07 Les Boys,Dire Straits,Making Movies,Unknown,4:8,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Dire Straits\Making Movies\07 Les Boys.mp3,4
The End,"Doors, The",Best Of The Doors (Disc 2),Rock,11:42,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Doors, The\Best Of The Doors (Disc 2)\2-08 The End.mp3",0
06 Shadows In Silence,Enigma,"Enigma III_ Le Roi Est Mort, Vive Le Roi",Unknown,4:21,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Enigma\Enigma III_ Le Roi Est Mort, Vive Le Roi\06 Shadows In Silence.mp3",0
Only Time,Enya,A Day Without Rain,New Age,3:38,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Enya\A Day Without Rain\03 Only Time.mp3,0
Anywhere Is,Enya,The Memory Of Trees,Classic Rock,3:59,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Enya\The Memory Of Trees\02 Anywhere Is.mp3,0
On My Way Home,Enya,The Memory Of Trees,Classic Rock,5:9,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Enya\The Memory Of Trees\11 On My Way Home.mp3,1
 New Beginnings VIP ,Feint,Unknown Album,Unknown,4:19,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Feint\Unknown Album\ New Beginnings VIP.mp3,0
White Winter Hymnal,Fleet Foxes,Fleet Foxes,Alternative,2:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Fleet Foxes\Fleet Foxes\02 White Winter Hymnal.mp3,0
The Shrine / An Argument,Fleet Foxes,Helplessness Blues,Other,8:26,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Fleet Foxes\Helplessness Blues\10 The Shrine _ An Argument.mp3,0
08 Landslide,Fleetwood Mac,Fleetwood Mac,Unknown,3:20,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Fleetwood Mac\Fleetwood Mac\08 Landslide.mp3,0
Born To Be Bad,George Thorogood & The Destroyers,George Thorogood & The Destroyers: Anthology,Blues,3:32,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\George Thorogood & The Destroyers\George Thorogood & The Destroyers_ Antho\2-02 Born To Be Bad.mp3,0
No Sugar Tonight / New Mother Nature,"Guess Who, The",Best Of The Guess Who,Rock,4:53,"C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Guess Who, The\Best Of The Guess Who\06 No Sugar Tonight _ New Mother Nat.mp3",0
Rex Duodecim Angelus,Homestuck,AlterniaBound,Unknown,6:39,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\AlterniaBound\20 Rex Duodecim Angelus.mp3,0
Eternity Served Cold,Homestuck,Cherubim,Unknown,8:21,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Cherubim\11 Eternity Served Cold.mp3,0
Ballad of Awakening,Homestuck,Homestuck Vol. 4,Unknown,3:8,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 4\07 Ballad of Awakening.mp3,0
Black,Homestuck,Homestuck Vol. 4,Unknown,2:25,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 4\13 Black.mp3,1
Skaian Skirmish,Homestuck,Homestuck Vol. 5,Unknown,2:9,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\02 Skaian Skirmish.mp3,0
Heirfare,Homestuck,Homestuck Vol. 5,Unknown,2:42,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\05 Heirfare.mp3,1
Aggrievance,Homestuck,Homestuck Vol. 5,Unknown,3:1,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\07 Aggrievance.mp3,2
Sunslammer,Homestuck,Homestuck Vol. 5,Unknown,3:5,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\21 Sunslammer.mp3,3
Lotus Land Story,Homestuck,Homestuck Vol. 5,Unknown,1:52,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\22 Lotus Land Story.mp3,4
Versus,Homestuck,Homestuck Vol. 5,Unknown,2:3,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\26 Versus.mp3,5
Dupliblaze COMAGMA,Homestuck,Homestuck Vol. 5,Unknown,2:24,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\31 Dupliblaze COMAGMA.mp3,6
