Name,Artist,Album,Genre,Length,Path,UID 
Blue,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:4,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 01-Blue.mp3",21
Words that We Couldn't Say,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,3:29,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 02-Words that We Couldn't Say.mp3",22
Autumn in Ganymede,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,3:55,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 03-Autumn in Ganymede.mp3",23
Mushroom Hunting,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,3:18,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 04-Mushroom Hunting.mp3",24
Go Go Cactus Man,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,2:37,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 05-Go Go Cactus Man.mp3",25
Chicken Bone,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,4:56,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 06-Chicken Bone.mp3",26
The Real Man,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,4:0,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 07-The Real Man.mp3",27
N.Y. Rush,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:5,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 08-N.Y. Rush.mp3",28
Adieu,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:40,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 09-Adieu.mp3",29
"Call Me, Call Me",The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,4:43,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 10-Call Me, Call Me.mp3",30
Ave Maria,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:49,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 11-Ave Maria.mp3",31
Stella by Moor,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,1:8,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 12-Stella by Moor.mp3",32
Flying Teapot,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,3:32,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 13-Flying Teapot.mp3",33
Wo Qui Non Coin,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,3:43,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 14-Wo Qui Non Coin.mp3",34
Road to the West,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,2:55,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 15-Road to the West.mp3",35
The Farewell Blues,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:8,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 16-The Farewell Blues.mp3",36
See You Space Cowboy...,The Seatbelts,Cowboy Bebop Blue,Jazz/Blues/Rock,5:55,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Blue - 17-See You Space Cowboy....mp3",37
Dialogue 1-1,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:30,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 01-Dialogue 1-1.mp3",38
Tank! (TV Edit),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:31,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 02-Tank! (TV Edit).mp3",39
Dialogue 1-2,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:15,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 03-Dialogue 1-2.mp3",40
Want it All Back (clavinet hater version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:0,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 04-Want it All Back (clavinet hater version).mp3",41
Sax Quartet,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:0,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 05-Sax Quartet.mp3",42
Dialogue 1-3,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:26,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 06-Dialogue 1-3.mp3",43
Encore un Verre,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:49,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 07-Encore un Verre.mp3",44
March for Koala,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:0,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 08-March for Koala.mp3",45
Dialogue 1-4,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:22,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 09-Dialogue 1-4.mp3",46
Felt Tip Pen,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:42,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 10-Felt Tip Pen.mp3",47
The Egg and You,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:44,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 11-The Egg and You.mp3",48
Dialogue 1-5,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:24,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 12-Dialogue 1-5.mp3",49
Pot City II (Yab's Dub),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:18,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 13-Pot City II (Yab's Dub).mp3",50
Dialogue 1-6,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:36,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 14-Dialogue 1-6.mp3",51
N.Y. Rush,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:5,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 15-N.Y. Rush.mp3",52
Dialogue 1-7,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:9,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 16-Dialogue 1-7.mp3",53
Fe,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:58,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 17-Fe.mp3",54
Piano Black,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:48,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 18-Piano Black.mp3",55
Dialogue 1-8,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:11,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 19-Dialogue 1-8.mp3",56
Spokey Dorkey (alternate take),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:32,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 20-Spokey Dorkey (alternate take).mp3",57
Forever broke,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:14,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 21-Forever broke.mp3",58
Dialogue 1-9,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:10,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 22-Dialogue 1-9.mp3",59
Road to the West (with rhythm),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:52,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 23-Road to the West (with rhythm).mp3",60
Dialogue 1-10,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:28,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 24-Dialogue 1-10.mp3",61
Meteor,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:50,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 25-Meteor.mp3",62
Dialogue 1-11,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:9,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 26-Dialogue 1-11.mp3",63
Digging my Potato,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:24,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 27-Digging my Potato.mp3",64
Dialogue 1-12,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:11,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 28-Dialogue 1-12.mp3",65
Rain (Demo),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:24,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 29-Rain (Demo).mp3",66
Dialogue 1-13,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:20,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 30-Dialogue 1-13.mp3",67
Green Bird,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:54,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 01) - 31-Green Bird.mp3",68
Dialogue 2-1,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:33,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 01-Dialogue 2-1.mp3",69
Cats on Mars,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:45,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 02-Cats on Mars.mp3",70
Doggy Dog II,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:47,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 03-Doggy Dog II.mp3",71
Doggy Dog III,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:49,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 04-Doggy Dog III.mp3",72
Dialogue 2-2,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:17,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 05-Dialogue 2-2.mp3",73
Piano Bar I,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:23,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 06-Piano Bar I.mp3",74
Give and Take,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:11,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 07-Give and Take.mp3",75
Dialogue 2-3,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:4,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 08-Dialogue 2-3.mp3",76
Cat Blues,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:37,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 09-Cat Blues.mp3",77
Dialogue 2-4,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:30,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 10-Dialogue 2-4.mp3",78
The Singing Sea II,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:22,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 11-The Singing Sea II.mp3",79
Dialogue 2-5,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:25,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 12-Dialogue 2-5.mp3",80
ELM,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:2,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 13-ELM.mp3",81
Waltz for Zizi,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:29,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 14-Waltz for Zizi.mp3",82
Dialogue 2-6,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:8,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 15-Dialogue 2-6.mp3",83
Pitiful Faye (High Socks),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:6,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 16-Pitiful Faye (High Socks).mp3",84
Farewell Blues (alternate take),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:30,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 17-Farewell Blues (alternate take).mp3",85
Dialogue 2-7,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:51,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 18-Dialogue 2-7.mp3",86
Words that We Couldn't Say,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:29,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 19-Words that We Couldn't Say.mp3",87
Dialogue 2-8,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:9,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 20-Dialogue 2-8.mp3",88
Space Lion (orgel version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:34,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 21-Space Lion (orgel version).mp3",89
Waste Land,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:51,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 22-Waste Land.mp3",90
Dialogue 2-9,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:43,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 23-Dialogue 2-9.mp3",91
Goodnight Julia,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:56,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 24-Goodnight Julia.mp3",92
Space Lion,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,7:12,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 02) - 25-Space Lion.mp3",93
Dialogue 3-1,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:8,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 01-Dialogue 3-1.mp3",94
Go Go Cactus Man (guitar version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:55,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 02-Go Go Cactus Man (guitar version).mp3",95
Dialogue 3-2,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:13,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 03-Dialogue 3-2.mp3",96
"Too Good, Too Bad",The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:34,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 04-Too Good, Too Bad.mp3",97
Dialogue 3-3,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:6,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 05-Dialogue 3-3.mp3",98
Eyeball,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:1,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 06-Eyeball.mp3",99
Dialogue 3-4,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:12,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 07-Dialogue 3-4.mp3",100
Amusement Park,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:44,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 08-Amusement Park.mp3",101
On the Run,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:50,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 09-On the Run.mp3",102
Dialogue 3-5,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:25,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 10-Dialogue 3-5.mp3",103
23 Hanashi,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:51,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 11-23 Hanashi.mp3",104
Dialogue 3-6,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:5,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 12-Dialogue 3-6.mp3",105
Don't Bother None (long version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:2,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 13-Don't Bother None (long version).mp3",106
Dialogue 3-7,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:24,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 14-Dialogue 3-7.mp3",107
WO QUI NON COIN (Short Sad Version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:35,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 15-WO QUI NON COIN (Short Sad Version).mp3",108
Pitiful Faye (Lip Cream),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:3,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 16-Pitiful Faye (Lip Cream).mp3",109
"Call Me, Call Me",The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:43,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 17-Call Me, Call Me.mp3",110
Dialogue 3-8,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:25,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 18-Dialogue 3-8.mp3",111
Memory,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:32,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 19-Memory.mp3",112
Adieu (long version),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,6:12,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 20-Adieu (long version).mp3",113
Dialogue 3-9,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:21,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 21-Dialogue 3-9.mp3",114
See You Space Cowboy...,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:55,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 22-See You Space Cowboy....mp3",115
Dialogue 3-10,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,0:19,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 23-Dialogue 3-10.mp3",116
Blue,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:4,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 03) - 24-Blue.mp3",117
06 Call Me Call Me (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,5:19,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - -06 Call Me Call Me (live).mp3",118
Tank! (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:1,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 01-Tank! (live).mp3",119
Rush (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:12,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 02-Rush (live).mp3",120
What Planet Is This (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:52,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 03-What Planet Is This (live).mp3",121
Too Good Too Bad(live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,2:30,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 04-Too Good Too Bad(live).mp3",122
Bad Dog No Biscuit (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:30,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 05-Bad Dog No Biscuit (live).mp3",123
Mushroom Hunting (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:8,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 07-Mushroom Hunting (live).mp3",124
The Real Folk Blues (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,6:7,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 08-The Real Folk Blues (live).mp3",125
Piano Solo (live),The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,7:51,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 09-Piano Solo (live).mp3",126
Ask DNA,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,4:51,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 10-Ask DNA.mp3",127
SF Game Center,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,1:26,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 11-SF Game Center.mp3",128
ROUYA,The Seatbelts,Cowboy Bebop Boxed Set,Jazz/Blues/Rock,3:38,"C:\Users\Devon Welch\Downloads\Cowboy Bebop OST\The Seatbelts, Cowboy Bebop Boxed Set (CD 04) - 12-ROUYA.mp3",129
